Łączna liczba podatników dla typu konta, którzy zgłosili do opodatkowania pow. użytkową wg suma_wielk>=200 and suma_wielk<500 m2;typ_osoby;rok;ilosc_podatników
Fizyczne;Osoba fizyczna;2015;2250
Fizyczne;Osoba fizyczna;2016;2397
Fizyczne;Osoba fizyczna;2017;2572
Fizyczne;Osoba fizyczna;2018;2859
Fizyczne;Osoba fizyczna;2019;3226
Fizyczne;Osoba fizyczna;2020;3526
Fizyczne;Osoba fizyczna;2021;3836
Fizyczne;Osoba fizyczna;2022;4120
Fizyczne;Osoba fizyczna;2023;4353
Fizyczne;Osoba fizyczna;2024;4559
