Łączna liczba podatnikow dla typu konta;typ_osoby;rok;ilosc_podatników
Fizyczne;Osoba fizyczna;2015;97380
Fizyczne;Osoba fizyczna;2016;104576
Fizyczne;Osoba fizyczna;2017;113404
Fizyczne;Osoba fizyczna;2018;126901
Fizyczne;Osoba fizyczna;2019;137870
Fizyczne;Osoba fizyczna;2020;146468
Fizyczne;Osoba fizyczna;2021;155279
Fizyczne;Osoba fizyczna;2022;161934
Fizyczne;Osoba fizyczna;2023;166805
Fizyczne;Osoba fizyczna;2024;169627
